,modelo,km,color,precio,year
80,Model 3,2490.0,azul,42500.0,2024
81,Model Y,39847.0,negro,44970.0,2022
82,Model 3,52000.0,blanco,28900.0,2021
83,Model S,121900.0,blanco,24900.0,2013
84,Model X,110000.0,blanco,42999.0,2019
85,Model 3,28000.0,blanco,37900.0,2019
86,Model X,68000.0,gris,58498.0,2019
87,Model 3,69000.0,blanco,33975.0,2021
88,Model 3,98226.0,blanco,31890.0,2021
89,Model 3,71000.0,gris,24999.0,2019
90,Model X,74000.0,azul,37900.0,2017
91,Model X,52000.0,blanco,47900.0,2017
92,Model S,220000.0,azul,35000.0,2014
93,Model 3,35.0,rojo,49900.0,2024
94,Model Y,11900.0,negro,49900.0,2024
95,Model X,1.0,gris,259900.0,2024
96,Model 3,29000.0,blanco,32990.0,2023
97,Model 3,10000.0,gris,35995.0,2023
98,Model 3,1.0,blanco,49900.0,2024
99,Model S,382100.0,marron,20999.0,2017
100,Model 3,40000.0,negro,33990.0,2021
101,Model 3,59000.0,gris,39900.0,2021
102,Model S,60000.0,marron,26995.0,2016
103,Model S,37500.0,gris,46500.0,2019
104,Model 3,44974.0,negro,34500.0,2021
105,Model 3,77000.0,blanco,33900.0,2020
106,Model Y,9294.0,blanco,42950.0,2023
107,Model Y,63000.0,azul,35475.0,2021
108,Model 3,39000.0,azul,27500.0,2019
109,Model Y,47000.0,negro,37990.0,2022
110,Model X,79000.0,negro,39900.0,2019
111,Model X,70000.0,azul,55000.0,2017
112,Model 3,77000.0,blanco,26850.0,2020
113,Model 3,39413.0,azul,28990.0,2019
114,Model 3,55000.0,negro,36900.0,2021
115,Model 3,74910.0,rojo,33990.0,2021
116,Model 3,77000.0,blanco,26850.0,2020
117,Model X,99000.0,gris,34990.0,2017
118,Model Y,15000.0,blanco,38900.0,2023
119,Model 3,88000.0,negro,24900.0,2019
120,Model 3,37418.0,blanco,37600.0,2022
121,Model X,58000.0,azul,54900.0,2020
122,Model S,37500.0,gris,46500.0,2019
123,Model 3,128000.0,gris,24850.0,2020
124,Model 3,78436.0,blanco,27990.0,2020
125,Model 3,93000.0,azul,25850.0,2021
126,Model 3,88000.0,blanco,29900.0,2019
127,Model 3,62000.0,blanco,29450.0,2020
128,Model 3,55000.0,blanco,35900.0,2021
129,Model X,10000.0,negro,89900.0,2023
130,Model 3,35.0,rojo,52900.0,2024
131,Model 3,47479.0,azul,28490.0,2020
132,Model 3,14000.0,blanco,32500.0,2020
133,Model Y,5000.0,gris,50900.0,2024
134,Model 3,60000.0,azul,33990.0,2021
135,Model S,61000.0,gris,30995.0,2018
136,Model X,51426.0,gris,55900.0,2019
137,Model 3,33340.0,negro,33950.0,2021
138,Model 3,88000.0,gris,24900.0,2019
139,Model S,188000.0,negro,23000.0,2019
140,Model 3,30686.0,gris,34990.0,2021
141,Model 3,116000.0,blanco,29900.0,2020
142,Model 3,95000.0,blanco,23900.0,2019
143,Model X,125000.0,rojo,38900.0,2017
144,Model Y,14000.0,negro,52900.0,2024
145,Model X,14000.0,negro,69900.0,2020
146,Model X,109000.0,rojo,49900.0,2018
147,Model 3,48523.0,blanco,43900.0,2022
148,Model 3,125000.0,rojo,27900.0,2019
149,Model 3,1.0,blanco,49900.0,2024
150,Model S,32000.0,marron,32000.0,2014
151,Model X,35000.0,azul,49999.0,2020
152,Model 3,113000.0,blanco,25450.0,2020
153,Model Y,32000.0,negro,59990.0,2022
154,Model 3,117000.0,blanco,28950.0,2020
155,Model 3,65000.0,negro,39900.0,2021
156,Model 3,26000.0,blanco,29850.0,2020
157,Model 3,88000.0,blanco,26900.0,2021
158,Model X,320000.0,rojo,32990.0,2017
159,Model 3,137183.0,gris,25000.0,2019
160,Model 3,169800.0,blanco,28990.0,2019
161,Model 3,58000.0,blanco,35900.0,2022
162,Model 3,113000.0,blanco,25450.0,2020
163,Model 3,93000.0,azul,25850.0,2021
164,Model S,19000.0,gris,38000.0,2022
165,Model S,175000.0,gris,28000.0,2015
166,Model X,10000.0,negro,84900.0,2023
167,Model 3,26000.0,blanco,29850.0,2020
168,Model Y,38000.0,negro,41900.0,2022
169,Model Y,23000.0,negro,35900.0,2024
170,Model Y,7925.0,blanco,46990.0,2024
171,Model 3,89990.0,blanco,22800.0,2019
172,Model 3,49900.0,blanco,37500.0,2022
173,Model S,170000.0,blanco,27550.0,2015
174,Model 3,128000.0,gris,24850.0,2020
175,Model 3,131000.0,blanco,24350.0,2019
176,Model 3,53000.0,blanco,27990.0,2019
177,Model Y,10778.0,negro,36500.0,2024
178,Model Y,25000.0,blanco,44500.0,2023
179,Model 3,120000.0,blanco,27500.0,2020
180,Model 3,56000.0,blanco,35500.0,2021
181,Model X,129200.0,negro,44900.0,2017
182,Model 3,134500.0,blanco,25050.0,2022
183,Model S,39980.0,gris,78990.0,2023
184,Model 3,55852.0,gris,38390.0,2023
185,Model X,58500.0,azul,49900.0,2019
